ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
6604548,1.0,240456.0,240456.0,[],50,1.3,0.5,5,5,0.1,0.07974135463447098,0.04,3.34,0.82,0,0.5,0,240456.0,0.0,6,4,0.0,0.0,0.0,59849.247252407906
7090840,0.7971774664710541,231069.0,184203.0,[],50,1.3,0.5,5,5,0.1,0.036619502208161236,0.03,2.94,0.87,0,0.5,0,231069.0,0.0,6,4,0.0,0.0,0.0,63758.093991384616
4878787,0.6000578720449087,172795.0,103687.0,[],50,1.3,0.5,5,5,0.1,0.0856961673006908,0.01,2.82,0.93,0,0.5,0,172795.0,0.0,6,4,0.0,0.0,0.0,14832.0
2384314,1.0,256676.0,256676.0,[],50,1.3,0.5,5,5,0.1,0.06987644348826391,0.02,2.88,1.0,0,0.5,0,256676.0,0.0,6,4,0.0,0.0,0.0,39021.095855492684
776,0.7905604590743284,228634.0,180749.0,[],50,1.3,0.5,5,5,0.1,0.07767106642469998,0.03,3.02,0.86,0,0.5,0,228634.0,0.0,6,4,0.0,0.0,0.0,62737.10324704807
5892528,0.8000283520378028,211625.0,169306.0,[],50,1.3,0.5,5,5,0.1,0.0689105165179802,0.03,3.12,0.92,0,0.5,0,211625.0,0.0,6,4,0.0,0.0,0.0,58024.15764788981
8097960,0.7943103723829311,256537.0,203770.0,[],50,1.3,0.5,5,5,0.1,0.08438286562014574,0.05,2.98,0.89,0,0.5,0,256537.0,0.0,6,4,0.0,0.0,0.0,75383.08095779101
4888399,0.6000347720259052,230070.0,138050.0,[],50,1.3,0.5,5,4,0.1,0.06769632999463482,0.03,2.84,0.72,0,0.5,0,230070.0,0.0,6,4,0.0,0.0,0.0,33822.26926508474
8688020,0.6000422332967311,236780.0,142078.0,[],50,1.3,0.5,5,5,0.1,0.07764266904337547,0.01,2.76,0.94,0,0.5,0,236780.0,0.0,6,4,0.0,0.0,0.0,57260.726961911656
6659452,0.7897620190942372,193671.0,152954.0,[],50,1.3,0.5,5,5,0.1,0.05431394033070142,0.02,2.94,0.88,0,0.5,0,193671.0,0.0,6,4,0.0,0.0,0.0,49541.15762870734
