ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
302462,0.5885164349807057,107545.0,63292.0,[],50,1.3,0.2,10,10,0.1,0.0762977153470589,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
6272530,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.08404319411821086,0.02,2.74,1.88,5,0.5,107545.0,0.0,10,5
3567681,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.07982435664518236,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
3783872,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,11,0.1,0.08466137892445195,0.04,2.74,1.89,5,0.5,107545.0,0.0,10,5
7447226,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.07843363635729093,0.03,2.74,1.87,5,0.5,107545.0,0.0,10,5
5642068,0.6001859686642801,107545.0,64547.0,[],50,1.3,0.2,10,10,0.1,0.06708488573823021,0.02,2.74,1.87,5,0.5,107545.0,0.0,10,5
2473963,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.08024877410279349,0.03,2.74,1.97,5,0.5,107545.0,0.0,10,5
3418590,0.6002138639639221,107545.0,64550.0,"[(<tree.AND object at 0x7f3517c2ead0>, 'I')]",50,1.3,0.2,10,10,0.1,0.08121741596117571,0.04,2.74,1.97,5,1.5,107545.0,0.0,10,5
4262859,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.07627727492172358,0.02,2.74,1.89,5,0.5,107545.0,0.0,10,5
7019871,0.5868055232693291,107545.0,63108.0,[],50,1.3,0.2,10,10,0.1,0.09076696157972516,0.03,2.74,1.94,5,0.5,107545.0,0.0,10,5
7432583,0.600195267097494,107545.0,64548.0,[],50,1.3,0.2,10,10,0.1,0.08210119814995706,0.02,2.74,1.87,5,0.5,107545.0,0.0,10,5
7452925,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.07497396978398256,0.03,3.06,1.56,5,0.5,139892.0,0.0,10,5
7141930,1.0000214451148028,139892.0,139895.0,[],50,1.3,0.3,10,11,0.1,0.05134110201106822,0.06,3.06,1.78,5,1.5,139892.0,0.0,10,5
319013,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.09710402793779035,0.03,3.06,1.57,5,0.5,139892.0,0.0,10,5
8878710,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.0849350267362669,0.05,3.06,1.59,5,0.5,139892.0,0.0,10,5
1519487,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.08629729900188689,0.04,3.06,1.56,5,0.5,139892.0,0.0,10,5
2585671,1.0,139892.0,139892.0,[],50,1.3,0.3,10,9,0.1,0.09608903275849434,0.04,3.06,1.47,5,0.5,139892.0,0.0,10,5
9408613,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.07899017119970526,0.02,3.06,1.57,5,0.5,139892.0,0.0,10,5
7841216,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.0725553168664185,0.03,3.06,1.6,5,0.5,139892.0,0.0,10,5
5632212,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.08251898796489668,0.04,3.06,1.67,5,0.5,139892.0,0.0,10,5
4212840,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.08071033357870075,0.04,3.06,1.61,5,0.5,139892.0,0.0,10,5
59528,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.07824401635017986,0.03,3.06,1.55,5,0.5,139892.0,0.0,10,5
3598568,1.0,125892.0,125892.0,[],50,1.3,0.3,10,10,0.1,0.08719807978200568,0.03,3.06,1.57,5,0.5,125892.0,0.0,10,5
2172864,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.08345879120492275,0.02,3.06,1.57,5,0.5,139892.0,0.0,10,5
9027614,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.07863272375304839,0.02,3.06,1.56,5,0.5,139892.0,0.0,10,5
4318757,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.09738990319454767,0.04,3.06,1.58,5,0.5,139892.0,0.0,10,5
4557412,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.06929840512371804,0.03,3.06,1.56,5,0.5,139892.0,0.0,10,5
6334,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.08197786987621154,0.03,3.06,1.55,5,0.5,139892.0,0.0,10,5
